,Name,White_percentage,African_percentage,Asian_percentage,Native_percentage
33,"Henry County, Alabama",69.33,24.779999999999998,0.43,0.29
34,"Houston County, Alabama",64.61,26.5,1.2,0.45999999999999996
35,"Jackson County, Alabama",86.5,3.11,0.41000000000000003,1.46
36,"Jefferson County, Alabama",48.85,41.699999999999996,1.94,0.33999999999999997
37,"Lamar County, Alabama",85.61,10.2,0.04,0.25
38,"Lauderdale County, Alabama",82.45,9.879999999999999,0.8200000000000001,0.38999999999999996
39,"Lawrence County, Alabama",75.33,9.99,0.26,4.38
40,"Lee County, Alabama",64.08,22.71,4.92,0.41000000000000003
41,"Limestone County, Alabama",74.41,12.85,1.81,0.6799999999999999
42,"Lowndes County, Alabama",27.33,69.75,0.15,0.16999999999999998
43,"Macon County, Alabama",16.650000000000002,79.06,0.38,0.25
44,"Madison County, Alabama",62.480000000000004,23.72,2.65,0.77
45,"Marengo County, Alabama",43.62,52.73,0.27999999999999997,0.05
46,"Marion County, Alabama",89.68,3.7699999999999996,0.26,0.36
47,"Marshall County, Alabama",78.81,2.4899999999999998,0.62,1.43
48,"Mobile County, Alabama",55.34,35.260000000000005,2.07,0.98
49,"Monroe County, Alabama",52.55,41.97,0.44999999999999996,1.46
50,"Montgomery County, Alabama",32.79,56.98,3.49,0.35000000000000003
51,"Morgan County, Alabama",72.82,12.520000000000001,0.69,0.77
52,"Perry County, Alabama",27.72,69.75,0.12,0.19
53,"Pickens County, Alabama",56.16,39.160000000000004,0.41000000000000003,0.13999999999999999
54,"Pike County, Alabama",55.36,36.77,1.78,0.58
55,"Randolph County, Alabama",76.35,17.37,0.4,0.35000000000000003
56,"Russell County, Alabama",46.52,44.34,0.7100000000000001,0.38999999999999996
57,"St. Clair County, Alabama",83.12,9.5,0.73,0.36
58,"Shelby County, Alabama",74.08,12.98,2.31,0.51
59,"Sumter County, Alabama",24.09,72.88,0.83,0.21
60,"Talladega County, Alabama",62.339999999999996,32.18,0.48,0.25
61,"Tallapoosa County, Alabama",68.93,25.2,0.54,0.31
62,"Tuscaloosa County, Alabama",60.160000000000004,30.43,1.43,0.42
63,"Walker County, Alabama",87.25,6.01,0.45999999999999996,0.49
64,"Washington County, Alabama",66.99000000000001,21.560000000000002,0.09,7.24
65,"Wilcox County, Alabama",27.169999999999998,70.59,0.06999999999999999,0.1
66,"Winston County, Alabama",92.44,0.6,0.26,0.48
67,"Aleutians East Borough, Alaska",20.0,8.68,22.54,23.45
68,"Aleutians West Census Area, Alaska",31.86,4.95,28.92,13.91
69,"Anchorage Municipality, Alaska",56.46,5.01,9.49,8.12
70,"Bethel Census Area, Alaska",8.92,0.45999999999999996,1.08,83.75
71,"Bristol Bay Borough, Alaska",43.84,0.7100000000000001,0.59,36.14
72,"Chugach Census Area, Alaska",69.08999999999999,0.69,7.449999999999999,9.42
73,"Copper River Census Area, Alaska",61.56,0.31,0.65,25.330000000000002
74,"Denali Borough, Alaska",85.36,0.6799999999999999,0.8,3.7699999999999996
75,"Dillingham Census Area, Alaska",16.45,0.52,0.9900000000000001,71.09
76,"Fairbanks North Star Borough, Alaska",68.97,4.2,3.25,7.9
77,"Haines Borough, Alaska",76.39,0.1,0.67,10.290000000000001
78,"Hoonah-Angoon Census Area, Alaska",48.5,0.25,0.6799999999999999,37.13
79,"Juneau City and Borough, Alaska",62.39,1.09,6.510000000000001,11.200000000000001
80,"Kenai Peninsula Borough, Alaska",78.88,0.66,1.38,7.19
81,"Ketchikan Gateway Borough, Alaska",60.440000000000005,0.74,8.09,16.73
82,"Kodiak Island Borough, Alaska",50.14999999999999,0.69,21.4,13.94
83,"Kusilvak Census Area, Alaska",2.07,0.19,0.27999999999999997,94.96
84,"Lake and Peninsula Borough, Alaska",20.53,0.13999999999999999,0.61,67.34
85,"Matanuska-Susitna Borough, Alaska",77.53999999999999,1.05,1.46,6.39
86,"Nome Census Area, Alaska",14.16,0.5499999999999999,1.11,75.21
87,"North Slope Borough, Alaska",27.939999999999998,1.47,5.81,52.11
88,"Northwest Arctic Borough, Alaska",8.98,0.9199999999999999,0.7100000000000001,83.00999999999999
89,"Petersburg Borough, Alaska",72.69,1.44,3.62,7.2700000000000005
90,"Prince of Wales-Hyder Census Area, Alaska",41.77,0.38,0.47000000000000003,44.92
91,"Sitka City and Borough, Alaska",61.17,0.44,6.78,14.760000000000002
92,"Skagway Municipality, Alaska",86.29,0.8099999999999999,3.15,2.58
93,"Southeast Fairbanks Census Area, Alaska",74.69,1.09,1.28,12.0
94,"Wrangell City and Borough, Alaska",63.56,0.0,1.18,17.87
95,"Yakutat City and Borough, Alaska",37.61,0.6,4.83,38.519999999999996
96,"Yukon-Koyukuk Census Area, Alaska",21.15,0.13,0.15,71.72
97,"Apache County, Arizona",22.53,0.27999999999999997,0.47000000000000003,71.21
98,"Cochise County, Arizona",65.14999999999999,3.81,2.16,1.2
99,"Coconino County, Arizona",57.45,1.35,1.8399999999999999,24.97
100,"Gila County, Arizona",67.4,0.53,0.84,16.76
101,"Graham County, Arizona",64.99000000000001,1.39,0.5,13.99
102,"Greenlee County, Arizona",68.85,0.91,0.7799999999999999,3.71
103,"La Paz County, Arizona",59.019999999999996,0.69,0.7000000000000001,17.11
104,"Maricopa County, Arizona",59.85,5.89,4.61,2.2800000000000002
105,"Mohave County, Arizona",79.59,1.04,1.28,2.4299999999999997
106,"Navajo County, Arizona",45.379999999999995,0.7100000000000001,0.53,44.46
107,"Pima County, Arizona",60.699999999999996,3.83,3.01,3.32
108,"Pinal County, Arizona",63.32,5.17,1.58,4.97
109,"Santa Cruz County, Arizona",33.42,0.38999999999999996,0.64,0.96
110,"Yavapai County, Arizona",81.5,0.65,1.24,1.81
111,"Yuma County, Arizona",44.3,2.01,1.27,1.73
112,"Arkansas County, Arkansas",68.21000000000001,24.240000000000002,0.5499999999999999,0.26
113,"Ashley County, Arkansas",67.97999999999999,24.490000000000002,0.22,0.29
114,"Baxter County, Arkansas",92.46,0.22,0.5599999999999999,0.61
115,"Benton County, Arkansas",70.76,1.66,4.83,1.79
116,"Boone County, Arkansas",91.32000000000001,0.29,0.66,0.74
117,"Bradley County, Arkansas",55.86,27.85,0.27999999999999997,0.8699999999999999
118,"Calhoun County, Arkansas",74.68,19.27,0.13,0.21
119,"Carroll County, Arkansas",77.68,0.33999999999999997,2.01,1.31
120,"Chicot County, Arkansas",38.73,53.06999999999999,0.37,0.35000000000000003
121,"Clark County, Arkansas",66.75,23.91,0.7100000000000001,0.44999999999999996
122,"Clay County, Arkansas",94.36,0.29,0.1,0.3
123,"Cleburne County, Arkansas",92.89,0.27999999999999997,0.41000000000000003,0.54
124,"Cleveland County, Arkansas",85.64,9.09,0.09,0.45999999999999996
125,"Columbia County, Arkansas",58.64,34.5,0.74,0.33
126,"Conway County, Arkansas",79.01,10.66,0.43,0.8099999999999999
127,"Craighead County, Arkansas",72.5,16.61,1.52,0.32
128,"Crawford County, Arkansas",80.84,1.49,1.58,2.4699999999999998
129,"Crittenden County, Arkansas",40.02,53.790000000000006,0.6799999999999999,0.27999999999999997
130,"Cross County, Arkansas",72.55,21.73,0.61,0.29
131,"Dallas County, Arkansas",53.800000000000004,39.989999999999995,0.11,0.26
132,"Desha County, Arkansas",42.52,47.370000000000005,0.54,0.41000000000000003
133,"Drew County, Arkansas",65.08,27.93,0.62,0.52
134,"Faulkner County, Arkansas",76.19,11.65,1.1900000000000002,0.58
135,"Franklin County, Arkansas",89.88000000000001,0.45999999999999996,0.95,1.25
136,"Fulton County, Arkansas",93.16,0.22,0.29,0.5499999999999999
137,"Garland County, Arkansas",78.7,8.110000000000001,0.97,0.8
138,"Grant County, Arkansas",90.79,2.55,0.43,0.44999999999999996
139,"Greene County, Arkansas",89.73,2.04,0.4,0.36
140,"Hempstead County, Arkansas",54.85,28.32,0.48,0.7000000000000001
141,"Hot Spring County, Arkansas",80.28,10.51,0.35000000000000003,0.5700000000000001
142,"Howard County, Arkansas",63.85999999999999,20.669999999999998,0.49,0.89
143,"Independence County, Arkansas",84.63000000000001,2.2399999999999998,0.91,0.64
144,"Izard County, Arkansas",90.64,1.8900000000000001,0.2,0.64
145,"Jackson County, Arkansas",76.92999999999999,16.63,0.38,0.27999999999999997
146,"Jefferson County, Arkansas",37.88,56.25,1.0,0.36
147,"Johnson County, Arkansas",78.02,1.87,3.5999999999999996,1.06
148,"Lafayette County, Arkansas",61.919999999999995,32.61,0.51,0.5700000000000001
149,"Lawrence County, Arkansas",92.77,0.88,0.24,0.32
150,"Lee County, Arkansas",40.29,54.22,0.15,0.44999999999999996
151,"Lincoln County, Arkansas",64.32,28.22,0.18,0.32
152,"Little River County, Arkansas",72.46000000000001,18.11,0.19,1.41
153,"Logan County, Arkansas",89.09,1.0999999999999999,1.55,1.1400000000000001
154,"Lonoke County, Arkansas",83.26,5.93,0.9900000000000001,0.5
155,"Madison County, Arkansas",86.41,0.25,0.62,1.4200000000000002
156,"Marion County, Arkansas",92.53,0.12,0.33,0.8200000000000001
157,"Miller County, Arkansas",65.81,25.790000000000003,0.48,0.66
158,"Mississippi County, Arkansas",57.04,35.21,0.6,0.24
159,"Monroe County, Arkansas",52.480000000000004,40.589999999999996,0.41000000000000003,0.52
160,"Montgomery County, Arkansas",89.31,0.21,0.59,1.21
161,"Nevada County, Arkansas",62.79,29.409999999999997,0.54,0.54
162,"Newton County, Arkansas",92.58,0.1,0.33,0.98
163,"Ouachita County, Arkansas",53.839999999999996,39.290000000000006,0.5599999999999999,0.31
164,"Perry County, Arkansas",91.47999999999999,1.0699999999999998,0.12,0.54
165,"Phillips County, Arkansas",33.900000000000006,62.43,0.38999999999999996,0.27
166,"Pike County, Arkansas",85.35000000000001,2.37,0.16,0.9199999999999999
167,"Poinsett County, Arkansas",84.44,7.76,0.27,0.44
168,"Polk County, Arkansas",85.47,0.22,0.52,1.9
169,"Pope County, Arkansas",81.11,3.3099999999999996,1.0699999999999998,0.96
170,"Prairie County, Arkansas",84.09,11.17,0.25,0.27999999999999997
171,"Pulaski County, Arkansas",49.91,35.97,2.5100000000000002,0.5599999999999999
172,"Randolph County, Arkansas",89.84,0.75,0.4,0.47000000000000003
173,"St. Francis County, Arkansas",41.36,54.400000000000006,0.5499999999999999,0.27999999999999997
174,"Saline County, Arkansas",79.72,8.44,1.1900000000000002,0.6799999999999999
175,"Scott County, Arkansas",83.47,0.36,2.83,2.15
176,"Searcy County, Arkansas",90.99000000000001,0.06,0.26,0.9299999999999999
177,"Sebastian County, Arkansas",67.94,6.3100000000000005,4.53,2.26
178,"Sevier County, Arkansas",60.57,3.65,0.41000000000000003,3.02
179,"Sharp County, Arkansas",91.92,0.6799999999999999,0.35000000000000003,0.73
180,"Stone County, Arkansas",92.95,0.16999999999999998,0.24,0.83
181,"Union County, Arkansas",59.45,32.59,0.72,0.38
182,"Van Buren County, Arkansas",91.7,0.49,0.36,0.84
183,"Washington County, Arkansas",68.47,3.52,2.33,1.4500000000000002
184,"White County, Arkansas",84.92,4.8500000000000005,0.8099999999999999,0.48
185,"Woodruff County, Arkansas",67.86999999999999,25.729999999999997,0.35000000000000003,0.13
186,"Yell County, Arkansas",75.66000000000001,1.24,1.0,0.97
187,"Alameda County, California",31.14,9.8,32.41,1.17
188,"Alpine County, California",67.61,0.83,1.0,19.6
189,"Amador County, California",76.85,3.05,1.44,1.87
190,"Butte County, California",70.67,1.72,4.9799999999999995,2.12
191,"Calaveras County, California",80.17999999999999,0.8,1.6400000000000001,1.6500000000000001
192,"Colusa County, California",42.88,0.91,1.26,2.35
193,"Contra Costa County, California",43.03,8.7,18.68,1.03
194,"Del Norte County, California",61.970000000000006,3.08,3.0300000000000002,8.77
195,"El Dorado County, California",76.69,0.8,4.81,1.01
196,"Fresno County, California",37.15,4.83,11.24,2.19
197,"Glenn County, California",54.48,0.61,2.2399999999999998,3.7800000000000002
198,"Humboldt County, California",71.88,1.38,2.65,6.22
199,"Imperial County, California",26.450000000000003,2.4299999999999997,1.7000000000000002,2.37
200,"Inyo County, California",61.8,0.51,1.48,13.01
201,"Kern County, California",40.88,5.510000000000001,5.1499999999999995,2.0
202,"Kings County, California",40.150000000000006,5.92,3.88,2.41
203,"Lake County, California",68.74,1.76,1.47,3.46
204,"Lassen County, California",64.36,6.959999999999999,1.51,3.32
205,"Los Angeles County, California",32.550000000000004,7.93,14.979999999999999,1.63
206,"Madera County, California",41.760000000000005,2.94,2.5,4.91
207,"Marin County, California",68.38,2.42,6.260000000000001,1.52
208,"Mariposa County, California",78.13,0.63,1.7399999999999998,2.9000000000000004
209,"Mendocino County, California",64.97,0.7000000000000001,1.95,5.11
210,"Merced County, California",37.169999999999995,3.26,7.37,2.67
211,"Modoc County, California",77.84,0.77,0.7000000000000001,5.13
212,"Mono County, California",70.85000000000001,0.5599999999999999,1.24,2.2399999999999998
213,"Monterey County, California",36.19,2.27,6.08,2.91
214,"Napa County, California",55.17999999999999,1.77,7.79,1.41
215,"Nevada County, California",83.73,0.44999999999999996,1.4000000000000001,0.9900000000000001
216,"Orange County, California",43.4,1.69,22.18,1.2
217,"Placer County, California",71.3,1.7000000000000002,8.77,0.88
218,"Plumas County, California",83.91999999999999,0.52,0.77,2.29
219,"Riverside County, California",41.17,6.47,7.08,1.81
220,"Sacramento County, California",45.15,9.64,17.77,1.18
221,"San Benito County, California",42.41,0.9900000000000001,3.7699999999999996,2.5700000000000003
222,"San Bernardino County, California",35.88,8.459999999999999,8.36,1.91
223,"San Diego County, California",49.51,4.72,12.45,1.24
224,"San Francisco County, California",41.349999999999994,5.35,33.93,0.74
225,"San Joaquin County, California",34.31,7.75,17.88,1.55
226,"San Luis Obispo County, California",70.23,1.63,3.6799999999999997,1.1199999999999999
227,"San Mateo County, California",39.269999999999996,2.06,30.12,0.89
228,"Santa Barbara County, California",50.13999999999999,1.6500000000000001,5.92,2.15
229,"Santa Clara County, California",32.16,2.32,39.2,1.1400000000000001
230,"Santa Cruz County, California",59.28,1.16,4.63,1.3299999999999998
231,"Shasta County, California",78.45,1.05,3.2800000000000002,2.7
232,"Sierra County, California",83.53,0.22,0.22,0.74
233,"Siskiyou County, California",76.23,1.13,2.02,4.58
234,"Solano County, California",38.76,13.71,16.05,1.1900000000000002
235,"Sonoma County, California",62.73,1.5599999999999998,4.67,1.81
236,"Stanislaus County, California",46.410000000000004,2.88,6.29,1.91
237,"Sutter County, California",46.98,1.9900000000000002,18.3,1.91
238,"Tehama County, California",68.25,0.64,1.5599999999999998,2.86
239,"Trinity County, California",72.16,0.44,13.79,2.71
240,"Tulare County, California",39.37,1.41,3.63,2.25
241,"Tuolumne County, California",79.47999999999999,1.81,1.47,1.77
242,"Ventura County, California",50.8,1.82,7.6899999999999995,1.73
243,"Yolo County, California",49.59,2.85,14.04,1.5599999999999998
244,"Yuba County, California",57.11000000000001,3.74,7.08,2.15
245,"Adams County, Colorado",55.76,3.36,4.4799999999999995,1.83
246,"Alamosa County, Colorado",61.49,1.53,1.0999999999999999,4.33
247,"Arapahoe County, Colorado",60.46,10.81,6.4799999999999995,1.04
248,"Archuleta County, Colorado",80.46,0.31,0.79,1.7999999999999998
249,"Baca County, Colorado",86.79,0.74,0.37,1.2
250,"Bent County, Colorado",67.81,4.53,0.9199999999999999,2.87
251,"Boulder County, Colorado",77.39,1.03,4.97,0.76
252,"Broomfield County, Colorado",76.01,1.3299999999999998,6.94,0.59
253,"Chaffee County, Colorado",85.71,1.52,0.7000000000000001,0.95
254,"Cheyenne County, Colorado",87.76,0.06,0.22999999999999998,0.74
255,"Clear Creek County, Colorado",88.57000000000001,0.5499999999999999,0.88,0.7799999999999999
256,"Conejos County, Colorado",67.62,0.36,0.27999999999999997,2.2399999999999998
257,"Costilla County, Colorado",52.22,1.1400000000000001,1.6,1.8900000000000001
258,"Crowley County, Colorado",63.27,8.73,1.25,3.04
259,"Custer County, Colorado",90.97,0.22999999999999998,0.49,1.13
260,"Delta County, Colorado",83.72,0.47000000000000003,0.7799999999999999,0.9400000000000001
261,"Denver County, Colorado",60.650000000000006,8.95,3.9,1.48
262,"Dolores County, Colorado",86.89,0.77,0.26,1.81
263,"Douglas County, Colorado",80.73,1.44,5.609999999999999,0.51
264,"Eagle County, Colorado",71.05,0.61,1.3,0.89
265,"Elbert County, Colorado",87.55,0.47000000000000003,0.72,0.7000000000000001
266,"El Paso County, Colorado",70.77,6.0,3.08,1.03
267,"Fremont County, Colorado",81.66,3.7800000000000002,0.69,1.7399999999999998
268,"Garfield County, Colorado",68.15,0.54,0.67,1.41
269,"Gilpin County, Colorado",87.41,0.65,1.6199999999999999,1.02
270,"Grand County, Colorado",87.63,0.41000000000000003,0.5700000000000001,0.51
271,"Gunnison County, Colorado",86.61,0.52,0.72,1.2
272,"Hinsdale County, Colorado",89.59,1.02,0.38,0.76
273,"Huerfano County, Colorado",73.27,0.95,0.45999999999999996,2.5700000000000003
274,"Jackson County, Colorado",86.95,0.0,0.15,1.02
275,"Jefferson County, Colorado",79.05,1.26,3.1199999999999997,1.04
276,"Kiowa County, Colorado",89.21,0.27999999999999997,0.62,0.0
277,"Kit Carson County, Colorado",79.71000000000001,0.33999999999999997,0.44,0.64
278,"Lake County, Colorado",67.19000000000001,0.51,0.8999999999999999,2.11
279,"La Plata County, Colorado",79.74,0.37,0.7100000000000001,6.01
280,"Larimer County, Colorado",82.44,1.06,2.3800000000000003,0.8
281,"Las Animas County, Colorado",68.95,1.4500000000000002,0.8,2.52
282,"Lincoln County, Colorado",77.48,4.8500000000000005,0.83,1.32
283,"Logan County, Colorado",80.17999999999999,3.55,0.6,1.0699999999999998
284,"Mesa County, Colorado",82.19,0.74,1.08,1.11
285,"Mineral County, Colorado",91.21000000000001,0.35000000000000003,0.35000000000000003,0.69
286,"Moffat County, Colorado",81.78999999999999,0.58,0.41000000000000003,1.17
287,"Montezuma County, Colorado",73.34,0.31,0.5499999999999999,12.93
288,"Montrose County, Colorado",78.25,0.42,0.79,1.35
289,"Morgan County, Colorado",65.9,3.35,0.54,1.39
290,"Otero County, Colorado",68.74,0.88,0.54,2.01
291,"Ouray County, Colorado",90.19,0.33,0.5700000000000001,0.33
292,"Park County, Colorado",88.09,0.54,0.6,0.96
293,"Phillips County, Colorado",77.25999999999999,0.42,0.49,1.15
294,"Pitkin County, Colorado",85.25,0.61,1.67,0.44
295,"Prowers County, Colorado",67.75999999999999,0.91,0.26,2.29
296,"Pueblo County, Colorado",64.7,2.17,1.03,2.3
297,"Rio Blanco County, Colorado",87.29,0.52,0.33999999999999997,0.89
298,"Rio Grande County, Colorado",70.14,0.53,0.36,2.5
299,"Routt County, Colorado",87.5,0.63,0.7100000000000001,0.47000000000000003
300,"Saguache County, Colorado",66.10000000000001,0.31,0.9900000000000001,3.02
301,"San Juan County, Colorado",85.96000000000001,0.43,0.27999999999999997,0.8500000000000001
302,"San Miguel County, Colorado",85.75,0.26,0.6799999999999999,1.1400000000000001
303,"Sedgwick County, Colorado",85.77,0.21,0.5,0.79
304,"Summit County, Colorado",79.7,0.8,1.35,0.8200000000000001
305,"Teller County, Colorado",87.28,0.5499999999999999,0.86,0.74
306,"Washington County, Colorado",87.81,0.66,0.38999999999999996,0.42
307,"Weld County, Colorado",70.49,1.38,1.78,1.3
308,"Yuma County, Colorado",74.46000000000001,0.22,0.33999999999999997,0.73
309,"Fairfield County, Connecticut",61.019999999999996,11.15,5.36,0.45999999999999996
310,"Hartford County, Connecticut",61.61,14.14,5.99,0.35000000000000003
311,"Litchfield County, Connecticut",85.74000000000001,1.81,1.8800000000000001,0.27999999999999997
312,"Middlesex County, Connecticut",82.02000000000001,5.220000000000001,3.04,0.24
313,"New Haven County, Connecticut",62.88,13.750000000000002,4.34,0.47000000000000003
314,"New London County, Connecticut",75.05,5.970000000000001,4.03,0.9299999999999999
315,"Tolland County, Connecticut",82.03,3.64,5.65,0.18
316,"Windham County, Connecticut",81.62,2.06,1.72,0.7000000000000001
317,"Kent County, Delaware",59.21999999999999,25.840000000000003,2.44,0.63
318,"New Castle County, Delaware",55.059999999999995,25.679999999999996,6.17,0.38
319,"Sussex County, Delaware",74.08,10.68,1.29,0.7799999999999999
320,"District of Columbia, District of Columbia",39.62,41.449999999999996,4.87,0.45999999999999996
321,"Alachua County, Florida",61.14000000000001,18.73,6.49,0.31
322,"Baker County, Florida",79.85,13.61,0.5599999999999999,0.43
323,"Bay County, Florida",74.94,10.190000000000001,2.36,0.59
324,"Bradford County, Florida",73.95,19.36,0.5,0.27
325,"Brevard County, Florida",73.88,9.68,2.62,0.38
326,"Broward County, Florida",39.92,27.36,3.91,0.38
327,"Calhoun County, Florida",78.7,12.32,0.33999999999999997,0.8099999999999999
328,"Charlotte County, Florida",84.32,4.96,1.41,0.27999999999999997
329,"Citrus County, Florida",87.49,2.68,1.59,0.37
330,"Clay County, Florida",70.97,12.2,3.1199999999999997,0.43
331,"Collier County, Florida",68.4,6.21,1.48,0.5499999999999999
332,"Columbia County, Florida",72.78999999999999,16.63,1.27,0.38999999999999996
333,"DeSoto County, Florida",62.74999999999999,12.57,0.5700000000000001,0.52
334,"Dixie County, Florida",83.88,9.370000000000001,0.38,0.36
335,"Duval County, Florida",51.71,29.360000000000003,4.97,0.37
336,"Escambia County, Florida",64.3,21.43,3.1199999999999997,0.73
337,"Flagler County, Florida",75.98,9.48,2.18,0.33
338,"Franklin County, Florida",80.33,11.42,0.24,0.37
339,"Gadsden County, Florida",34.08,53.47,0.33999999999999997,0.45999999999999996
340,"Gilchrist County, Florida",84.92,4.4799999999999995,0.36,0.41000000000000003
341,"Glades County, Florida",67.96,12.11,0.29,1.66
342,"Gulf County, Florida",80.32000000000001,12.0,0.4,0.54
343,"Hamilton County, Florida",57.330000000000005,31.97,0.31,0.41000000000000003
344,"Hardee County, Florida",58.52,8.6,0.6799999999999999,0.75
345,"Hendry County, Florida",46.56,11.0,0.88,1.6400000000000001
346,"Hernando County, Florida",78.4,5.28,1.37,0.43
347,"Highlands County, Florida",70.67999999999999,9.77,1.6199999999999999,0.5
348,"Hillsborough County, Florida",52.56999999999999,16.27,4.87,0.5
349,"Holmes County, Florida",86.82,6.29,0.45999999999999996,0.65
350,"Indian River County, Florida",76.69,8.37,1.5,0.33
351,"Jackson County, Florida",66.32000000000001,25.679999999999996,0.62,0.48
352,"Jefferson County, Florida",61.370000000000005,31.85,0.22999999999999998,0.29
353,"Lafayette County, Florida",77.35,12.7,0.12,0.29
354,"Lake County, Florida",70.17999999999999,10.299999999999999,2.23,0.42
355,"Lee County, Florida",69.75,7.739999999999999,1.72,0.5
356,"Leon County, Florida",56.10000000000001,30.409999999999997,3.62,0.29
357,"Levy County, Florida",79.49000000000001,8.6,0.6799999999999999,0.54
358,"Liberty County, Florida",74.32,17.02,0.22999999999999998,0.79
359,"Madison County, Florida",58.02,35.120000000000005,0.26,0.33
360,"Manatee County, Florida",72.35000000000001,8.04,2.1399999999999997,0.41000000000000003
361,"Marion County, Florida",71.44,11.81,1.6199999999999999,0.41000000000000003
362,"Martin County, Florida",78.56,4.79,1.4500000000000002,0.77
363,"Miami-Dade County, Florida",29.5,14.81,1.63,0.33999999999999997
364,"Monroe County, Florida",72.58,5.800000000000001,1.41,0.42
365,"Nassau County, Florida",85.27,5.57,0.9900000000000001,0.33
366,"Okaloosa County, Florida",71.75,9.29,3.2099999999999995,0.5700000000000001
367,"Okeechobee County, Florida",68.95,8.59,0.8500000000000001,1.02
368,"Orange County, Florida",44.04,19.37,5.48,0.44
369,"Osceola County, Florida",40.58,10.489999999999998,3.04,0.58
370,"Palm Beach County, Florida",57.34,17.59,2.96,0.64
371,"Pasco County, Florida",74.22999999999999,6.05,2.9899999999999998,0.38999999999999996
372,"Pinellas County, Florida",73.92999999999999,9.82,3.56,0.37
373,"Polk County, Florida",60.550000000000004,14.56,1.8599999999999999,0.54
374,"Putnam County, Florida",71.39,15.61,0.66,0.59
375,"St. Johns County, Florida",80.61,4.89,3.61,0.27
376,"St. Lucie County, Florida",58.379999999999995,20.169999999999998,1.77,0.43
377,"Santa Rosa County, Florida",80.39,5.87,2.09,0.7000000000000001
378,"Sarasota County, Florida",82.73,3.8699999999999997,1.96,0.3
379,"Seminole County, Florida",61.5,11.360000000000001,5.4399999999999995,0.35000000000000003
380,"Sumter County, Florida",86.36,6.619999999999999,0.97,0.3
381,"Suwannee County, Florida",75.96000000000001,11.52,0.63,0.52
382,"Taylor County, Florida",73.61999999999999,19.31,1.03,0.52
383,"Union County, Florida",73.72,20.02,0.22,0.31
384,"Volusia County, Florida",72.28999999999999,10.440000000000001,1.9300000000000002,0.38
385,"Wakulla County, Florida",78.82000000000001,12.590000000000002,0.6,0.49
386,"Walton County, Florida",82.14,4.43,1.23,0.72
387,"Washington County, Florida",78.25,12.97,0.54,0.88
388,"Appling County, Georgia",70.87,18.360000000000003,0.69,0.49
389,"Atkinson County, Georgia",63.72,14.64,0.16,0.77
390,"Bacon County, Georgia",74.07000000000001,15.83,0.36,0.13
391,"Baker County, Georgia",53.410000000000004,39.290000000000006,0.63,0.04
392,"Baldwin County, Georgia",51.73,42.02,1.37,0.19
393,"Banks County, Georgia",87.82,2.19,1.05,0.5700000000000001
394,"Barrow County, Georgia",69.03,12.42,3.92,0.49
395,"Bartow County, Georgia",75.66000000000001,10.57,1.09,0.44
396,"Ben Hill County, Georgia",54.86,36.449999999999996,0.69,0.41000000000000003
