Federal Information Processing Standards (FIPS) Code,State,Area name,Rural-Urban Continuum Code 2013,Population 1990,Population 2000,Population 2010,Population 2020,Population 2021
5107,AR,Phillips County,6,28830.00 ,26438.00 ,21757.00 ,16568.00 ,15906.00 
5109,AR,Pike County,9,10086.00 ,11301.00 ,11291.00 ,10171.00 ,10066.00 
5111,AR,Poinsett County,3,24664.00 ,25617.00 ,24583.00 ,22965.00 ,22660.00 
5113,AR,Polk County,7,17347.00 ,20234.00 ,20662.00 ,19221.00 ,19353.00 
5115,AR,Pope County,5,45883.00 ,54492.00 ,61754.00 ,63381.00 ,63789.00 
5117,AR,Prairie County,8,9518.00 ,9523.00 ,8715.00 ,8282.00 ,8135.00 
5119,AR,Pulaski County,2,349569.00 ,361370.00 ,382748.00 ,399125.00 ,397821.00 
5121,AR,Randolph County,7,16558.00 ,18191.00 ,17969.00 ,18571.00 ,18865.00 
5123,AR,St. Francis County,6,28497.00 ,29330.00 ,28258.00 ,23090.00 ,22739.00 
5125,AR,Saline County,2,64183.00 ,83559.00 ,107118.00 ,123416.00 ,125233.00 
5127,AR,Scott County,6,10205.00 ,10986.00 ,11233.00 ,9836.00 ,9822.00 
5129,AR,Searcy County,9,7841.00 ,8240.00 ,8195.00 ,7828.00 ,7880.00 
5131,AR,Sebastian County,2,99590.00 ,115101.00 ,125744.00 ,127799.00 ,128400.00 
5133,AR,Sevier County,6,13637.00 ,15750.00 ,17058.00 ,15839.00 ,15783.00 
5135,AR,Sharp County,7,14109.00 ,17120.00 ,17264.00 ,17271.00 ,17622.00 
5137,AR,Stone County,9,9775.00 ,11496.00 ,12394.00 ,12359.00 ,12481.00 
5139,AR,Union County,7,46719.00 ,45633.00 ,41639.00 ,39054.00 ,38340.00 
5141,AR,Van Buren County,8,14008.00 ,16182.00 ,17295.00 ,15796.00 ,15694.00 
5143,AR,Washington County,2,113409.00 ,157805.00 ,203065.00 ,245871.00 ,250057.00 
5145,AR,White County,4,54676.00 ,67164.00 ,77076.00 ,76822.00 ,77207.00 
5147,AR,Woodruff County,9,9520.00 ,8738.00 ,7260.00 ,6269.00 ,6116.00 
5149,AR,Yell County,6,17759.00 ,21127.00 ,22185.00 ,20263.00 ,20155.00 
6000,CA,California,,29811427.00 ,33871653.00 ,37253956.00 ,39538223.00 ,39237836.00 
6001,CA,Alameda County,1,1304347.00 ,1443705.00 ,1510271.00 ,1682353.00 ,1648556.00 
6003,CA,Alpine County,8,1113.00 ,1206.00 ,1175.00 ,1204.00 ,1235.00 
6005,CA,Amador County,6,30039.00 ,35101.00 ,38091.00 ,40474.00 ,41259.00 
6007,CA,Butte County,3,182120.00 ,203125.00 ,220000.00 ,211632.00 ,208309.00 
6009,CA,Calaveras County,6,31998.00 ,40535.00 ,45578.00 ,45292.00 ,46221.00 
6011,CA,Colusa County,6,16275.00 ,18799.00 ,21419.00 ,21839.00 ,21917.00 
6013,CA,Contra Costa County,1,803731.00 ,948865.00 ,1049025.00 ,1165927.00 ,1161413.00 
6015,CA,Del Norte County,7,23460.00 ,27505.00 ,28610.00 ,27743.00 ,28100.00 
6017,CA,El Dorado County,1,125995.00 ,156314.00 ,181058.00 ,191185.00 ,193221.00 
6019,CA,Fresno County,2,667479.00 ,798766.00 ,930450.00 ,1008654.00 ,1013581.00 
6021,CA,Glenn County,6,24798.00 ,26432.00 ,28122.00 ,28917.00 ,28805.00 
6023,CA,Humboldt County,5,119118.00 ,126508.00 ,134623.00 ,136463.00 ,136310.00 
6025,CA,Imperial County,3,109303.00 ,142334.00 ,174528.00 ,179702.00 ,179851.00 
6027,CA,Inyo County,7,18281.00 ,17955.00 ,18546.00 ,19016.00 ,18970.00 
6029,CA,Kern County,2,544981.00 ,661632.00 ,839631.00 ,909235.00 ,917673.00 
6031,CA,Kings County,3,101469.00 ,129470.00 ,152982.00 ,152486.00 ,153443.00 
6033,CA,Lake County,4,50631.00 ,58331.00 ,64665.00 ,68163.00 ,68766.00 
6035,CA,Lassen County,7,27598.00 ,33828.00 ,34895.00 ,32730.00 ,33159.00 
6037,CA,Los Angeles County,1,8863052.00 ,9519315.00 ,9818605.00 ,10014009.00 ,9829544.00 
6039,CA,Madera County,3,88090.00 ,123179.00 ,150865.00 ,156255.00 ,159410.00 
6041,CA,Marin County,1,230096.00 ,247301.00 ,252409.00 ,262321.00 ,260206.00 
6043,CA,Mariposa County,8,14302.00 ,17112.00 ,18251.00 ,17131.00 ,17147.00 
6045,CA,Mendocino County,4,80345.00 ,86253.00 ,87841.00 ,91601.00 ,91305.00 
6047,CA,Merced County,2,178403.00 ,211178.00 ,255793.00 ,281202.00 ,286461.00 
6049,CA,Modoc County,6,9678.00 ,9431.00 ,9686.00 ,8700.00 ,8661.00 
6051,CA,Mono County,7,9956.00 ,12839.00 ,14202.00 ,13195.00 ,13247.00 
6053,CA,Monterey County,2,355660.00 ,401752.00 ,415057.00 ,439035.00 ,437325.00 
6055,CA,Napa County,3,110765.00 ,124344.00 ,136484.00 ,138019.00 ,136207.00 
6057,CA,Nevada County,4,78510.00 ,92055.00 ,98764.00 ,102241.00 ,103487.00 
6059,CA,Orange County,1,2410668.00 ,2846282.00 ,3010232.00 ,3186989.00 ,3167809.00 
6061,CA,Placer County,1,172796.00 ,248270.00 ,348432.00 ,404739.00 ,412300.00 
6063,CA,Plumas County,7,19739.00 ,20817.00 ,20007.00 ,19790.00 ,19915.00 
6065,CA,Riverside County,1,1170413.00 ,1545320.00 ,2189641.00 ,2418185.00 ,2458395.00 
6067,CA,Sacramento County,1,1066789.00 ,1223578.00 ,1418788.00 ,1585055.00 ,1588921.00 
6069,CA,San Benito County,1,36697.00 ,53214.00 ,55269.00 ,64209.00 ,66677.00 
6071,CA,San Bernardino County,1,1418380.00 ,1709479.00 ,2035210.00 ,2181654.00 ,2194710.00 
6073,CA,San Diego County,1,2498016.00 ,2813839.00 ,3095313.00 ,3298634.00 ,3286069.00 
6075,CA,San Francisco County,1,723959.00 ,776764.00 ,805235.00 ,873965.00 ,815201.00 
6077,CA,San Joaquin County,2,480628.00 ,563660.00 ,685306.00 ,779233.00 ,789410.00 
6079,CA,San Luis Obispo County,2,217162.00 ,246746.00 ,269637.00 ,282424.00 ,283159.00 
6081,CA,San Mateo County,1,649623.00 ,707099.00 ,718451.00 ,764442.00 ,737888.00 
6083,CA,Santa Barbara County,2,369608.00 ,399293.00 ,423895.00 ,448229.00 ,446475.00 
6085,CA,Santa Clara County,1,1497577.00 ,1682781.00 ,1781642.00 ,1936259.00 ,1885508.00 
6087,CA,Santa Cruz County,2,229734.00 ,255614.00 ,262382.00 ,270861.00 ,267792.00 
6089,CA,Shasta County,3,147036.00 ,163242.00 ,177223.00 ,182155.00 ,182139.00 
6091,CA,Sierra County,8,3318.00 ,3559.00 ,3240.00 ,3236.00 ,3283.00 
6093,CA,Siskiyou County,6,43531.00 ,44305.00 ,44900.00 ,44076.00 ,44118.00 
6095,CA,Solano County,2,339469.00 ,394495.00 ,413344.00 ,453491.00 ,451716.00 
6097,CA,Sonoma County,2,388222.00 ,458586.00 ,483878.00 ,488863.00 ,485887.00 
6099,CA,Stanislaus County,2,370522.00 ,446850.00 ,514453.00 ,552878.00 ,552999.00 
6101,CA,Sutter County,3,64409.00 ,78947.00 ,94737.00 ,99633.00 ,99063.00 
6103,CA,Tehama County,4,49625.00 ,56060.00 ,63463.00 ,65829.00 ,65498.00 
6105,CA,Trinity County,8,13063.00 ,13011.00 ,13786.00 ,16112.00 ,16060.00 
6107,CA,Tulare County,2,311932.00 ,368011.00 ,442179.00 ,473117.00 ,477054.00 
6109,CA,Tuolumne County,4,48456.00 ,54522.00 ,55365.00 ,55620.00 ,55810.00 
6111,CA,Ventura County,2,669016.00 ,753230.00 ,823318.00 ,843843.00 ,839784.00 
6113,CA,Yolo County,1,141212.00 ,168660.00 ,200849.00 ,216403.00 ,216986.00 
6115,CA,Yuba County,3,58234.00 ,60249.00 ,72155.00 ,81575.00 ,83421.00 
8000,CO,Colorado,,3294473.00 ,4302086.00 ,5029196.00 ,5773714.00 ,5812069.00 
8001,CO,Adams County,1,265038.00 ,348076.00 ,441603.00 ,519572.00 ,522140.00 
8003,CO,Alamosa County,7,13617.00 ,14965.00 ,15445.00 ,16376.00 ,16547.00 
8005,CO,Arapahoe County,1,391572.00 ,488829.00 ,572003.00 ,655070.00 ,654900.00 
8007,CO,Archuleta County,7,5345.00 ,9894.00 ,12084.00 ,13359.00 ,13790.00 
8009,CO,Baca County,9,4556.00 ,4517.00 ,3788.00 ,3506.00 ,3514.00 
8011,CO,Bent County,7,5048.00 ,5996.00 ,6499.00 ,5650.00 ,5759.00 
8013,CO,Boulder County,2,225339.00 ,269784.00 ,294567.00 ,330758.00 ,329543.00 
8014,CO,Broomfield County,1,,39202.00 ,55889.00 ,74112.00 ,75325.00 
8015,CO,Chaffee County,7,12684.00 ,16250.00 ,17809.00 ,19476.00 ,20074.00 
8017,CO,Cheyenne County,9,2397.00 ,2229.00 ,1836.00 ,1748.00 ,1707.00 
8019,CO,Clear Creek County,1,7619.00 ,9263.00 ,9088.00 ,9397.00 ,9446.00 
8021,CO,Conejos County,9,7453.00 ,8400.00 ,8256.00 ,7461.00 ,7612.00 
8023,CO,Costilla County,9,3190.00 ,3661.00 ,3524.00 ,3499.00 ,3625.00 
8025,CO,Crowley County,8,3946.00 ,5514.00 ,5823.00 ,5922.00 ,6012.00 
8027,CO,Custer County,8,1926.00 ,3508.00 ,4255.00 ,4704.00 ,5045.00 
8029,CO,Delta County,6,20980.00 ,27824.00 ,30952.00 ,31196.00 ,31661.00 
8031,CO,Denver County,1,467549.00 ,553805.00 ,600158.00 ,715522.00 ,711463.00 
8033,CO,Dolores County,9,1504.00 ,1844.00 ,2064.00 ,2326.00 ,2397.00 
8035,CO,Douglas County,1,60391.00 ,175732.00 ,285465.00 ,357978.00 ,368990.00 
8037,CO,Eagle County,5,21928.00 ,41623.00 ,52197.00 ,55731.00 ,55727.00 
8039,CO,Elbert County,1,9646.00 ,19855.00 ,23086.00 ,26062.00 ,27128.00 
8041,CO,El Paso County,2,397014.00 ,516934.00 ,622263.00 ,730395.00 ,737867.00 
8043,CO,Fremont County,4,32273.00 ,46140.00 ,46824.00 ,48939.00 ,49661.00 
8045,CO,Garfield County,5,29974.00 ,43786.00 ,56389.00 ,61685.00 ,62161.00 
8047,CO,Gilpin County,1,3070.00 ,4746.00 ,5441.00 ,5808.00 ,5873.00 
8049,CO,Grand County,7,7966.00 ,12433.00 ,14843.00 ,15717.00 ,15860.00 
8051,CO,Gunnison County,7,10273.00 ,14000.00 ,15324.00 ,16918.00 ,17281.00 
8053,CO,Hinsdale County,9,467.00 ,792.00 ,843.00 ,788.00 ,781.00 
8055,CO,Huerfano County,6,6009.00 ,7859.00 ,6711.00 ,6820.00 ,6920.00 
